1. 25Q: 3, 9, 14, 17, 24, 30, 31, 37, 41, 48, 55, 56, 65, 70, 71, 79, 83, 88, 95, 96, 105, 109, 114, 116, 121, 
2. 25Q: 2, 6, 13, 19, 23, 26, 31, 36, 42, 48, 54, 56, 64, 68, 72, 80, 84, 90, 91, 99, 104, 108, 112, 118, 122, 
3. 25Q: 4, 8, 12, 18, 22, 27, 34, 38, 41, 49, 53, 57, 63, 67, 72, 78, 83, 89, 93, 99, 104, 109, 111, 120, 123, 
4. 25Q: 1, 8, 13, 18, 24, 26, 35, 36, 44, 48, 54, 56, 61, 68, 75, 77, 82, 89, 92, 97, 101, 109, 111, 118, 125, 
5. 25Q: 5, 9, 15, 20, 22, 28, 33, 40, 43, 47, 52, 60, 63, 68, 74, 76, 83, 88, 95, 98, 101, 109, 112, 118, 122, 
6. 25Q: 1, 10, 11, 18, 22, 28, 34, 36, 41, 47, 52, 59, 64, 67, 71, 77, 81, 87, 91, 100, 104, 108, 115, 116, 121, 
7. 25Q: 2, 8, 15, 20, 25, 28, 33, 38, 45, 49, 55, 58, 64, 68, 71, 78, 81, 88, 95, 96, 104, 109, 112, 117, 125, 
8. 25Q: 4, 6, 15, 16, 23, 26, 35, 38, 41, 47, 54, 60, 61, 67, 74, 80, 85, 88, 92, 96, 101, 106, 114, 120, 124, 
9. 25Q: 2, 7, 14, 16, 22, 26, 31, 36, 44, 48, 52, 59, 61, 69, 71, 76, 82, 87, 95, 98, 104, 108, 115, 120, 125, 
10. 25Q: 5, 7, 12, 19, 25, 30, 34, 40, 42, 46, 55, 59, 61, 70, 71, 80, 81, 88, 93, 97, 102, 110, 113, 116, 125, 
11. 25Q: 1, 9, 11, 16, 23, 28, 32, 37, 45, 50, 54, 57, 63, 68, 73, 80, 82, 86, 92, 98, 103, 106, 111, 120, 125, 
12. 25Q: 3, 9, 15, 17, 25, 30, 31, 39, 42, 50, 54, 57, 61, 66, 72, 80, 82, 87, 93, 97, 103, 109, 114, 117, 121, 
13. 25Q: 2, 7, 14, 19, 24, 28, 32, 37, 41, 50, 54, 58, 65, 66, 71, 76, 85, 87, 95, 99, 105, 109, 114, 119, 122, 
14. 25Q: 3, 6, 13, 16, 25, 26, 34, 40, 41, 46, 52, 60, 62, 69, 75, 80, 82, 86, 92, 99, 102, 109, 113, 120, 123, 
15. 25Q: 2, 8, 12, 19, 25, 26, 35, 40, 44, 50, 53, 57, 65, 66, 71, 77, 82, 87, 92, 98, 105, 110, 112, 119, 125, 
16. 25Q: 2, 6, 11, 19, 24, 27, 35, 40, 44, 47, 51, 59, 61, 66, 73, 76, 82, 90, 91, 96, 103, 107, 112, 117, 123, 
17. 25Q: 1, 10, 15, 20, 23, 26, 32, 36, 44, 49, 51, 57, 64, 68, 72, 78, 83, 88, 94, 97, 102, 109, 113, 120, 122, 
18. 25Q: 5, 8, 12, 19, 25, 26, 32, 37, 42, 48, 54, 57, 65, 69, 71, 77, 84, 87, 95, 96, 104, 108, 111, 117, 122, 
19. 25Q: 3, 7, 14, 18, 24, 26, 34, 40, 45, 49, 55, 58, 62, 70, 73, 77, 82, 86, 91, 98, 102, 108, 112, 119, 125, 
20. 25Q: 5, 9, 13, 16, 25, 27, 33, 39, 44, 46, 53, 60, 62, 66, 73, 79, 84, 88, 95, 100, 103, 110, 112, 118, 125, 
21. 25Q: 1, 8, 15, 18, 21, 26, 31, 37, 45, 50, 55, 57, 63, 67, 73, 80, 82, 88, 95, 100, 105, 110, 112, 118, 125, 
22. 25Q: 4, 6, 12, 19, 24, 27, 35, 40, 42, 46, 54, 57, 61, 68, 75, 79, 85, 89, 94, 97, 101, 110, 111, 119, 122, 
23. 25Q: 4, 6, 13, 17, 24, 28, 34, 40, 43, 47, 52, 60, 63, 66, 74, 76, 83, 88, 92, 96, 102, 106, 114, 119, 125, 
24. 25Q: 4, 9, 13, 20, 25, 26, 33, 37, 43, 46, 55, 58, 63, 66, 75, 76, 83, 89, 94, 100, 101, 109, 114, 119, 121, 
25. 25Q: 4, 9, 12, 17, 22, 29, 35, 37, 42, 49, 53, 60, 64, 66, 73, 80, 82, 90, 91, 96, 104, 108, 111, 118, 123, 
26. 25Q: 1, 8, 15, 19, 21, 30, 32, 40, 45, 46, 55, 56, 61, 68, 75, 80, 84, 86, 93, 97, 103, 109, 115, 116, 122, 
27. 25Q: 1, 8, 14, 20, 22, 28, 33, 37, 45, 49, 54, 60, 61, 69, 75, 80, 85, 88, 95, 97, 102, 107, 112, 118, 124, 
28. 25Q: 5, 10, 12, 19, 21, 28, 33, 36, 41, 46, 52, 59, 65, 66, 72, 76, 82, 88, 92, 100, 105, 110, 111, 118, 121, 
29. 25Q: 1, 7, 14, 19, 24, 28, 34, 39, 43, 46, 51, 56, 61, 66, 71, 77, 85, 87, 95, 96, 103, 108, 114, 119, 123, 
